method,version_bin_start,trajectory_count,version_min,version_max,effective_threshold,full_strategy_fraction,frontier_trigger_rate,imposed_horizon_mean,full_horizon_fraction,realized_turns_mean,realized_turns_median,available_turns_mean,masked_turns_mean,task_success_rate,prompt_truncated_rate
Linear anneal,160,48,160,163,,1.0,0.0,30.0,1.0,12.166666666666666,11.5,12.166666666666666,0.0,0.6041666666666666,0.3958333333333333
Linear anneal,165,64,165,169,,1.0,0.0,30.0,1.0,10.484375,8.0,10.484375,0.0,0.734375,0.265625
Linear anneal,170,48,171,173,,1.0,0.0,30.0,1.0,10.395833333333334,8.0,10.395833333333334,0.0,0.7291666666666666,0.2708333333333333
Linear anneal,175,64,175,179,,1.0,0.0,30.0,1.0,11.53125,11.0,11.53125,0.0,0.609375,0.390625
Linear anneal,180,48,180,183,,1.0,0.0,30.0,1.0,11.416666666666666,9.5,11.416666666666666,0.0,0.6458333333333334,0.3541666666666667
Linear anneal,185,64,185,189,,1.0,0.0,30.0,1.0,11.34375,8.0,11.34375,0.0,0.65625,0.34375
Linear anneal,190,48,191,194,,1.0,0.0,30.0,1.0,11.604166666666666,9.0,11.604166666666666,0.0,0.5833333333333334,0.4166666666666667
Linear anneal,195,48,195,198,,1.0,0.0,30.0,1.0,10.979166666666666,8.5,10.979166666666666,0.0,0.6666666666666666,0.3333333333333333
Linear anneal,200,64,200,204,,1.0,0.0,30.0,1.0,9.703125,7.5,9.703125,0.0,0.78125,0.21875
Linear anneal,205,64,206,209,,1.0,0.0,30.0,1.0,10.25,7.5,10.25,0.0,0.78125,0.21875
Linear anneal,210,48,211,214,,1.0,0.0,30.0,1.0,9.708333333333334,8.0,9.708333333333334,0.0,0.7916666666666666,0.20833333333333334
Linear anneal,215,48,215,218,,1.0,0.0,30.0,1.0,9.833333333333334,8.0,9.833333333333334,0.0,0.7708333333333334,0.22916666666666666
Linear anneal,220,64,220,223,,1.0,0.0,30.0,1.0,10.0,8.0,10.0,0.0,0.765625,0.234375
Linear anneal,225,64,225,229,,1.0,0.0,30.0,1.0,9.46875,8.0,9.46875,0.0,0.796875,0.203125
Linear anneal,230,48,230,233,,1.0,0.0,30.0,1.0,11.875,11.0,11.875,0.0,0.5833333333333334,0.4166666666666667
Linear anneal,235,64,235,239,,1.0,0.0,30.0,1.0,10.859375,8.0,10.859375,0.0,0.671875,0.328125
Linear anneal,240,48,241,244,,1.0,0.0,30.0,1.0,10.645833333333334,9.0,10.645833333333334,0.0,0.75,0.25
Linear anneal,245,57,245,250,,1.0,0.0,30.0,1.0,9.105263157894736,7.0,9.105263157894736,0.0,0.8596491228070176,0.14035087719298245
Immediate Vanilla,0,64,0,3,0.1,0.0,0.765625,12.9375,0.234375,9.0625,7.0,16.0,6.9375,0.140625,0.859375
Immediate Vanilla,5,64,5,9,0.1,0.0,0.609375,16.984375,0.390625,11.515625,10.5,17.046875,5.53125,0.09375,0.90625
Immediate Vanilla,10,48,11,14,0.10000000000000002,0.0,0.6875,15.354166666666666,0.3125,10.875,10.0,18.1875,7.3125,0.08333333333333333,0.9166666666666666
Immediate Vanilla,15,64,15,19,0.1,0.0,0.453125,21.0625,0.546875,13.109375,14.5,17.4375,4.328125,0.140625,0.859375
Immediate Vanilla,20,48,20,23,0.10000000000000002,0.0,0.4375,21.125,0.5625,13.479166666666666,13.5,17.979166666666668,4.5,0.14583333333333334,0.8541666666666666
Immediate Vanilla,25,64,25,29,0.1,0.0,0.34375,23.5625,0.65625,15.359375,15.0,17.75,2.390625,0.140625,0.859375
Immediate Vanilla,30,48,31,34,0.10000000000000002,0.0,0.4166666666666667,21.3125,0.5833333333333334,13.270833333333334,13.0,17.75,4.479166666666667,0.16666666666666666,0.8333333333333334
Immediate Vanilla,35,48,35,38,0.10000000000000002,0.0,0.3958333333333333,21.791666666666668,0.6041666666666666,12.3125,13.0,15.583333333333334,3.2708333333333335,0.2916666666666667,0.7083333333333334
Immediate Vanilla,40,64,40,44,0.1,0.0,0.296875,23.625,0.703125,11.984375,11.0,14.96875,2.984375,0.296875,0.703125
Immediate Vanilla,45,64,46,49,0.1,0.0,0.4375,21.265625,0.5625,11.9375,11.0,15.609375,3.671875,0.3125,0.6875
Immediate Vanilla,50,48,51,53,0.10000000000000002,0.0,0.2916666666666667,23.1875,0.7083333333333334,12.291666666666666,11.5,15.666666666666666,3.375,0.25,0.75
Immediate Vanilla,55,64,55,58,0.1,0.0,0.34375,22.3125,0.65625,11.125,10.0,13.875,2.75,0.359375,0.640625
Immediate Vanilla,60,64,60,64,0.1,0.0,0.421875,20.625,0.578125,10.109375,8.0,13.703125,3.59375,0.375,0.625
Immediate Vanilla,65,48,66,69,0.10000000000000002,0.0,0.4375,20.5625,0.5625,9.833333333333334,9.0,14.125,4.291666666666667,0.4791666666666667,0.5208333333333334
Immediate Vanilla,70,48,70,73,0.10000000000000002,0.0,0.3541666666666667,22.458333333333332,0.6458333333333334,9.875,9.5,12.666666666666666,2.7916666666666665,0.3958333333333333,0.6041666666666666
Immediate Vanilla,75,64,75,79,0.1,0.0,0.390625,21.53125,0.609375,9.703125,9.0,12.890625,3.1875,0.46875,0.53125
Immediate Vanilla,80,64,80,83,0.1,1.0,0.0,30.0,1.0,13.0625,14.0,13.0625,0.0,0.5,0.5
Immediate Vanilla,85,64,85,89,0.1,1.0,0.0,30.0,1.0,12.28125,11.0,12.28125,0.0,0.53125,0.46875
Immediate Vanilla,90,48,91,94,0.10000000000000002,1.0,0.0,30.0,1.0,13.375,13.0,13.375,0.0,0.5,0.5
Immediate Vanilla,95,48,95,98,0.10000000000000002,1.0,0.0,30.0,1.0,12.1875,11.5,12.1875,0.0,0.5416666666666666,0.4583333333333333
Immediate Vanilla,100,64,100,104,0.1,1.0,0.0,30.0,1.0,11.125,10.0,11.125,0.0,0.609375,0.390625
Immediate Vanilla,105,48,105,108,0.10000000000000002,1.0,0.0,30.0,1.0,14.145833333333334,13.5,14.145833333333334,0.0,0.4375,0.5625
Immediate Vanilla,110,64,110,114,0.1,1.0,0.0,30.0,1.0,12.265625,11.0,12.265625,0.0,0.5625,0.4375
Immediate Vanilla,115,48,116,119,0.10000000000000002,1.0,0.0,30.0,1.0,10.041666666666666,9.0,10.041666666666666,0.0,0.7083333333333334,0.2916666666666667
Immediate Vanilla,120,48,120,123,0.10000000000000002,1.0,0.0,30.0,1.0,10.729166666666666,8.0,10.729166666666666,0.0,0.75,0.25
Immediate Vanilla,125,64,125,129,0.1,1.0,0.0,30.0,1.0,11.140625,10.5,11.140625,0.0,0.6875,0.3125
Immediate Vanilla,130,48,131,134,0.10000000000000002,1.0,0.0,30.0,1.0,11.1875,9.0,11.1875,0.0,0.6666666666666666,0.3333333333333333
Immediate Vanilla,135,48,135,138,0.10000000000000002,1.0,0.0,30.0,1.0,10.625,8.0,10.625,0.0,0.7291666666666666,0.2708333333333333
Immediate Vanilla,140,64,140,144,0.1,1.0,0.0,30.0,1.0,11.671875,9.0,11.671875,0.0,0.609375,0.390625
Immediate Vanilla,145,48,146,149,0.10000000000000002,1.0,0.0,30.0,1.0,11.5,8.0,11.5,0.0,0.625,0.375
Immediate Vanilla,150,64,150,154,0.1,1.0,0.0,30.0,1.0,10.53125,8.0,10.53125,0.0,0.765625,0.234375
Immediate Vanilla,155,48,156,159,0.10000000000000002,1.0,0.0,30.0,1.0,10.583333333333334,9.5,10.583333333333334,0.0,0.6875,0.3125
Immediate Vanilla,160,48,160,163,0.10000000000000002,1.0,0.0,30.0,1.0,11.8125,8.5,11.8125,0.0,0.6041666666666666,0.3958333333333333
Immediate Vanilla,165,64,165,169,0.1,1.0,0.0,30.0,1.0,11.421875,9.0,11.421875,0.0,0.6875,0.3125
Immediate Vanilla,170,48,171,174,0.10000000000000002,1.0,0.0,30.0,1.0,10.729166666666666,8.0,10.729166666666666,0.0,0.7083333333333334,0.2916666666666667
Immediate Vanilla,175,48,175,178,0.10000000000000002,1.0,0.0,30.0,1.0,11.0625,8.5,11.0625,0.0,0.7083333333333334,0.2916666666666667
Immediate Vanilla,180,64,180,184,0.1,1.0,0.0,30.0,1.0,10.03125,7.5,10.03125,0.0,0.71875,0.28125
Immediate Vanilla,185,48,186,189,0.10000000000000002,1.0,0.0,30.0,1.0,10.6875,8.0,10.6875,0.0,0.6875,0.3125
Immediate Vanilla,190,64,190,194,0.1,1.0,0.0,30.0,1.0,11.453125,9.0,11.453125,0.0,0.625,0.375
