relative_turn,delta_teacher_entropy,task_success,model_version
1,0.22339665348322602,False,7
2,0.28223133011048945,False,7
3,0.22459198714655582,False,7
4,0.31360730930052555,False,7
5,0.1708735359865059,False,7
6,0.33624363562658804,False,7
7,0.15166477841067033,False,7
-8,-0.02706431829435013,False,7
-7,-0.09282775482143485,False,7
-6,-0.16806146305053823,False,7
-5,-0.09980886550484969,False,7
-4,-0.04904034585645001,False,7
-3,0.08377041265565,False,7
-2,0.047225436442974555,False,7
-1,0.23125560437414028,False,7
0,0.09864958593781503,False,7
1,0.14214263219238055,False,7
2,-0.006395434500114594,False,7
3,0.05601536647787242,False,7
4,0.0852248579614438,False,7
5,0.029320378618306275,False,7
6,0.22649566028486945,False,7
7,0.35020121682002237,False,7
8,0.09535933997269741,False,7
9,0.14550377919885782,False,7
10,0.27677466402596074,False,7
-6,-0.02790322492780517,False,7
-5,-0.053726581581124144,False,7
-4,0.0816298065089292,False,7
-3,0.07124250691421197,False,7
-2,0.0885017326925498,False,7
-1,0.12483068702085104,False,7
0,0.22658323233637906,False,7
1,0.047644823747614584,False,7
2,0.0625481601307365,False,7
3,0.14845029465104703,False,7
4,0.25989072397341334,False,7
5,0.20087673682432755,False,7
6,0.2303908123935588,False,7
7,0.13950967728794889,False,7
-5,-0.015528776186405968,False,7
-4,0.007699598908693095,False,7
-3,0.007829177277712929,False,7
-2,0.14854337516919947,False,7
-1,0.20745515369151157,False,7
0,0.20193647724708141,False,7
1,-0.1553576702715559,False,7
2,0.0633608705036377,False,7
3,-0.13559031530720306,False,7
4,-0.17640188889692493,False,7
5,-0.23206668849693196,False,7
6,-0.06428103327758183,False,7
7,0.09720701373961493,False,7
8,-0.24708006169687263,False,7
9,-0.18031887170970834,False,7
10,-0.1749410907629088,False,7
-6,0.08559102858433876,False,7
-5,0.028408880808350245,False,7
-4,-0.11399990939268898,False,7
-3,-0.00305944893697091,False,7
-2,-0.008518428443940351,False,7
-1,0.3184940173320521,False,7
0,0.08420228645032946,False,7
1,-0.003068613979997359,False,7
2,0.3084780498358087,False,7
3,0.18414176105371505,False,7
4,-0.003948502934706666,False,7
5,0.22308390738029565,False,7
6,0.40766062677523135,False,7
7,0.4961322899431017,False,7
8,0.19323653981940092,False,7
9,0.32431603811154514,False,7
10,0.33267061675047366,False,7
-8,-0.1779630708291164,False,7
-7,-0.03812245509768797,False,7
-6,-0.04497053733116119,False,7
-5,-0.17180571460885224,False,7
-4,-0.14068689825689368,False,7
-3,-0.09747091065559571,False,7
-6,0.035988838615410246,False,7
-5,-0.048779831173181354,False,7
-4,0.012790992557771053,False,7
-3,-0.2587722022822627,False,7
-2,0.2551325172449629,False,7
-1,0.1754066871076797,False,7
0,0.022680961281290934,False,7
1,0.08438351708476088,False,7
2,-0.05769886544576425,False,7
3,0.1751271287884687,False,7
4,-0.15848620212412545,False,7
5,-0.03322958197576786,False,7
6,-0.030204835361081095,False,7
-8,0.18283366967503983,False,7
-7,0.02262333069131489,False,7
-6,-0.0032153888546140874,False,7
-5,0.08063873831198759,False,7
-4,0.039389879076873024,False,7
-3,-0.08814216272733344,False,7
-2,0.19777466393213,False,7
-1,0.07255655521129217,False,7
0,0.20200620876742842,False,7
1,0.1836003746229516,False,7
-8,0.07694058942503196,False,7
-7,-0.11493724740669559,False,7
-6,-0.2062738220125609,False,7
-5,-0.21265024442331193,False,7
-4,0.14826783439568952,False,7
-3,0.09226676331674971,False,7
-2,-0.0356491357280615,False,7
-1,0.16737472467528974,False,7
0,0.2596203633289493,False,7
1,-0.07351670590919729,False,7
2,-0.12768773229560487,False,7
3,-0.1128207831548464,False,7
4,-0.059529878712370476,False,7
5,0.15332628625392014,False,7
6,0.2081895093799117,False,7
7,0.014091627050983602,False,7
8,0.12053047638970366,False,7
9,-0.12699194282707665,False,7
-4,0.011236284041109434,False,7
-3,-0.03412009854760245,False,7
-2,0.022883814506493128,False,7
-1,0.1977911074612279,False,7
0,0.2982899681227898,False,7
1,0.3374166858707211,False,7
2,0.1816962381126616,False,7
3,0.19041662375691054,False,7
4,-0.02460208335114178,False,7
5,-0.04453045085228663,False,7
6,0.3913094347057691,False,7
7,0.2826822540257559,False,7
8,-0.05991554871217575,False,7
9,0.19569425589767037,False,7
10,0.30523936869638596,False,7
11,0.1877151890122159,False,7
12,-0.004647314097603827,False,7
13,0.27360514591898094,False,7
14,0.32187009387887516,False,7
15,0.1585355456501783,False,7
-5,0.07417104607013858,False,7
-4,0.02543108589014409,False,7
-3,-0.09960213196028261,False,7
-2,0.05652785209324346,False,7
-1,0.22566374969109526,False,7
0,0.32495451545928244,False,7
1,0.21515435002316718,False,7
2,0.34613612874248867,False,7
3,0.319520925347605,False,7
4,0.2666091580889953,False,7
5,0.1783222053329716,False,7
6,0.2733737740369565,False,7
7,0.15444238946989375,False,7
8,0.27574071021375346,False,7
9,0.21163168628478468,False,7
10,0.19382041028245522,False,7
11,0.15097495919444937,False,7
12,0.2871648453737695,False,7
13,0.1948908536798858,False,7
14,0.15309578797058176,False,7
15,0.1272481795092193,False,7
-5,0.059239540722344275,False,9
-4,-0.03828128545249754,False,9
-3,-0.020958255269846737,False,9
-2,0.21203481683740816,False,9
-1,0.1314355476258659,False,9
0,0.45857838211158825,False,9
1,0.0498663662867142,False,9
2,0.2814083905354717,False,9
3,0.2608708423257963,False,9
4,0.2622417842094497,False,9
5,0.24453988820831146,False,9
6,0.45501434258956047,False,9
7,0.3136524396656128,False,9
8,0.27999652317881135,False,9
-8,0.12226005352051345,False,9
-7,-0.12130171609000764,False,9
-6,0.041838363143250734,False,9
-5,0.10061627939846346,False,9
-4,0.05056072690687807,False,9
-3,-0.0013815444019704137,False,9
-2,-0.1352433412971637,False,9
-1,0.33315804727347825,False,9
