branch,branch_label,step,success_count,task_count,success_rate,success_rate_percent,seen_success_count,unseen_success_count,engine_num,provenance,source,source_sha256
entropy_adaptive_v1_t0100,Adaptive v1 (\tau=0.100),240,227,274,0.8284671532846716,82.84671532846716,119,108,5,existing-all-checkpoint-curve,runs/experiments/all_checkpoint_full274_seed42/entropy_adaptive_v1_t0100/step_240_seed42/summary.json,b2dee760ead9b1881609799e2313db2bab33921a420093632949b6146b13950d
entropy_adaptive_v1_t0100,Adaptive v1 (\tau=0.100),250,238,274,0.8686131386861314,86.86131386861314,123,115,4,existing-all-checkpoint-curve,runs/experiments/entropy_adaptive_v1_t0100_250step_4gpu_s1t1_r4/evaluation/step250_full274/summary.json,d88b4d8a158554dc2e13cec97ab6e62c4be77e712bc5043805f602a554a5ee59
entropy_adaptive_v1_t0175,Adaptive v1 (\tau=0.175),10,24,274,0.08759124087591241,8.75912408759124,13,11,4,existing-all-checkpoint-curve,runs/experiments/entropy_adaptive_v1_step10_8gpu_s2t4_r16/evaluation/full274/summary.json,469b0a379832ffdebde39b57fc2036a44c064348b62f62369a14120d2bd6a14c
entropy_adaptive_v1_t0175,Adaptive v1 (\tau=0.175),20,31,274,0.11313868613138686,11.313868613138686,15,16,5,existing-all-checkpoint-curve,runs/experiments/t0175_all_checkpoint_full274_seed42/step_20_seed42/summary.json,1b867f442be79ce168b5642ddff7a0aefd1cdf7aef2cad2d139c6795547fc60d
entropy_adaptive_v1_t0175,Adaptive v1 (\tau=0.175),40,88,274,0.32116788321167883,32.11678832116788,54,34,5,existing-all-checkpoint-curve,runs/experiments/t0175_all_checkpoint_full274_seed42/step_40_seed42/summary.json,c122899eab10a9723bd833e4233b946b1a3d0e9c3a7091fecdf27005bcec0c2c
entropy_adaptive_v1_t0175,Adaptive v1 (\tau=0.175),60,105,274,0.38321167883211676,38.32116788321168,53,52,5,existing-all-checkpoint-curve,runs/experiments/t0175_all_checkpoint_full274_seed42/step_60_seed42/summary.json,0179bb8de09a91214d3cef73ced87fd19db6fb3f16c8885b4e552cc392c4678c
entropy_adaptive_v1_t0175,Adaptive v1 (\tau=0.175),80,114,274,0.41605839416058393,41.605839416058394,63,51,5,existing-all-checkpoint-curve,runs/experiments/t0175_all_checkpoint_full274_seed42/step_80_seed42/summary.json,bfc663e607c5c3a08cf97598f435e40629df62d644933bbc1d3e1b73d08e5789
entropy_adaptive_v1_t0175,Adaptive v1 (\tau=0.175),100,152,274,0.5547445255474452,55.47445255474452,83,69,5,existing-all-checkpoint-curve,runs/experiments/t0175_all_checkpoint_full274_seed42/step_100_seed42/summary.json,4a4437dc6f4f8edd6fddb70f579e2db808a7894eaea38439836ee880a2352771
entropy_adaptive_v1_t0175,Adaptive v1 (\tau=0.175),120,174,274,0.635036496350365,63.503649635036496,96,78,5,existing-all-checkpoint-curve,runs/experiments/t0175_all_checkpoint_full274_seed42/step_120_seed42/summary.json,91eac2e598c924b85526403d08def9abccaa0a986f5622b351223393f42c6596
entropy_adaptive_v1_t0175,Adaptive v1 (\tau=0.175),140,189,274,0.6897810218978102,68.97810218978103,101,88,5,existing-all-checkpoint-curve,runs/experiments/t0175_all_checkpoint_full274_seed42/step_140_seed42/summary.json,6b195c129f608ce4d71a976808b6db94aa7d2b6cdd90777a8b6d1202375a7264
entropy_adaptive_v1_t0175,Adaptive v1 (\tau=0.175),160,179,274,0.6532846715328468,65.32846715328468,95,84,5,existing-all-checkpoint-curve,runs/experiments/t0175_all_checkpoint_full274_seed42/step_160_seed42/summary.json,d4018eff623e9e160416bc522735f0c40d30c401a0a922d8e5217fdc369d5d4d
entropy_adaptive_v1_t0175,Adaptive v1 (\tau=0.175),180,203,274,0.7408759124087592,74.08759124087592,103,100,5,existing-all-checkpoint-curve,runs/experiments/t0175_all_checkpoint_full274_seed42/step_180_seed42/summary.json,bae18b2627d83d399d592ab2e6aedd05836bd6ca1cde5943d82d82c1cdb3d050
entropy_adaptive_v1_t0175,Adaptive v1 (\tau=0.175),200,211,274,0.7700729927007299,77.00729927007299,112,99,5,existing-all-checkpoint-curve,runs/experiments/t0175_all_checkpoint_full274_seed42/step_200_seed42/summary.json,bd9b3612119d1b3cff01178bd2e1346bd4525162faa08b071328ee067748a241
entropy_adaptive_v1_t0175,Adaptive v1 (\tau=0.175),220,207,274,0.7554744525547445,75.54744525547446,108,99,5,existing-all-checkpoint-curve,runs/experiments/t0175_all_checkpoint_full274_seed42/step_220_seed42/summary.json,7b52b4fcb0ee16a52fd0dc86d41560f53ebceed98a34438c7b5865eb28013451
entropy_adaptive_v1_t0175,Adaptive v1 (\tau=0.175),240,192,274,0.7007299270072993,70.07299270072993,99,93,5,existing-all-checkpoint-curve,runs/experiments/t0175_all_checkpoint_full274_seed42/step_240_seed42/summary.json,8c3c2235c7ef732e5f023faa868ef71f565bf0a4ab799a7e6c818499fd77945b
entropy_adaptive_v1_t0175,Adaptive v1 (\tau=0.175),250,193,274,0.7043795620437956,70.43795620437956,110,83,4,existing-all-checkpoint-curve,runs/experiments/entropy_adaptive_v1_step10_8gpu_s2t4_r16/evaluation/step250_full274/summary.json,7abeda63c2122ef0cf1d16b2fde2449a44877c63c595b62e48b7193f19e24d2f
