method,explorer_batch,trajectory_count,model_version_mean,matched_done_reward,audited_task_success,matched_done_reward_smooth,matched_done_reward_cumulative,audited_task_success_smooth,audited_task_success_cumulative
TCOD F2B,1,16,0.0,0.0,,0.0,0.0,,
TCOD F2B,2,16,0.0,0.0,,0.0,0.0,,
TCOD F2B,3,16,0.0,0.0,,0.0,0.0,,
TCOD F2B,4,16,0.0,0.0,,0.0,0.0,,
TCOD F2B,5,16,1.0,0.0,,0.0,0.0,,
TCOD F2B,6,16,1.0,0.0,,0.0,0.0,,
TCOD F2B,7,16,2.0,0.0,,0.0,0.0,,
TCOD F2B,8,16,2.0,0.0,,0.0,0.0,,
TCOD F2B,9,16,3.0,0.0,,0.0,0.0,,
TCOD F2B,10,16,3.0,0.0,,0.0,0.0,,
TCOD F2B,11,16,4.0,0.0,,0.0,0.0,,
TCOD F2B,12,16,5.0,0.0,,0.0,0.0,,
TCOD F2B,13,16,5.0,0.0,,0.0,0.0,,
TCOD F2B,14,16,6.0,0.0,,0.006944444444444444,0.0,,
TCOD F2B,15,16,7.0,0.0,,0.006944444444444444,0.0,,
TCOD F2B,16,16,8.0,0.0,,0.013888888888888888,0.0,,
TCOD F2B,17,16,9.0,0.0,,0.013888888888888888,0.0,,
TCOD F2B,18,16,10.0,0.0625,,0.013888888888888888,0.003472222222222222,,
TCOD F2B,19,16,11.0,0.0,,0.013888888888888888,0.003289473684210526,,
TCOD F2B,20,16,12.0,0.0625,,0.020833333333333332,0.00625,,
TCOD F2B,21,16,13.0,0.0,,0.020833333333333332,0.005952380952380952,,
TCOD F2B,22,16,14.0,0.0,,0.027777777777777776,0.005681818181818182,,
TCOD F2B,23,16,15.0,0.0,,0.027777777777777776,0.005434782608695652,,
TCOD F2B,24,16,16.0,0.0625,,0.034722222222222224,0.0078125,,
TCOD F2B,25,16,18.0,0.0,,0.04861111111111111,0.0075,,
TCOD F2B,26,16,19.0,0.0625,,0.06944444444444445,0.009615384615384616,,
TCOD F2B,27,16,20.0,0.0625,,0.08333333333333333,0.011574074074074073,,
TCOD F2B,28,16,21.0,0.0625,,0.13194444444444445,0.013392857142857142,,
TCOD F2B,29,16,23.0,0.1875,,0.14583333333333334,0.01939655172413793,,
TCOD F2B,30,16,24.0,0.1875,,0.16666666666666666,0.025,,
TCOD F2B,31,16,25.0,0.125,,0.1736111111111111,0.028225806451612902,,
TCOD F2B,32,16,27.0,0.4375,,0.19444444444444445,0.041015625,,
TCOD F2B,33,16,28.0,0.1875,,0.19444444444444445,0.045454545454545456,,
TCOD F2B,34,16,29.0,0.1875,,0.19444444444444445,0.04963235294117647,,
TCOD F2B,35,16,31.0,0.125,,0.1736111111111111,0.05178571428571429,,
TCOD F2B,36,16,32.0,0.25,,0.16666666666666666,0.057291666666666664,,
TCOD F2B,37,16,33.0,0.0625,,0.13194444444444445,0.057432432432432436,,
TCOD F2B,38,16,35.0,0.1875,,0.1527777777777778,0.06085526315789474,,
TCOD F2B,39,16,36.0,0.0,,0.1527777777777778,0.05929487179487179,,
TCOD F2B,40,16,37.0,0.0625,,0.1527777777777778,0.059375,,
TCOD F2B,41,16,39.0,0.125,,0.18055555555555555,0.06097560975609756,,
TCOD F2B,42,16,40.0,0.375,,0.2152777777777778,0.06845238095238096,,
TCOD F2B,43,16,42.0,0.1875,,0.20833333333333334,0.07122093023255814,,
TCOD F2B,44,16,43.0,0.125,,0.25,0.07244318181818182,,
TCOD F2B,45,16,45.0,0.5,,0.2847222222222222,0.08194444444444444,,
TCOD F2B,46,16,46.0,0.375,,0.3055555555555556,0.08831521739130435,,
TCOD F2B,47,16,48.0,0.125,,0.3125,0.08909574468085106,,
TCOD F2B,48,16,49.0,0.375,,0.3402777777777778,0.09505208333333333,,
TCOD F2B,49,16,51.0,0.375,,0.3819444444444444,0.10076530612244898,,
TCOD F2B,50,16,52.0,0.3125,,0.3819444444444444,0.105,,
TCOD F2B,51,16,54.0,0.4375,,0.4166666666666667,0.11151960784313726,,
TCOD F2B,52,16,55.0,0.4375,,0.4513888888888889,0.11778846153846154,,
TCOD F2B,53,16,57.0,0.5,,0.4861111111111111,0.125,,
TCOD F2B,54,16,58.0,0.5,,0.4791666666666667,0.13194444444444445,,
TCOD F2B,55,16,60.0,0.6875,,0.4861111111111111,0.14204545454545456,,
TCOD F2B,56,16,61.0,0.4375,,0.5,0.14732142857142858,,
TCOD F2B,57,16,63.0,0.6875,,0.5,0.15679824561403508,,
TCOD F2B,58,16,64.0,0.3125,,0.5069444444444444,0.15948275862068967,,
TCOD F2B,59,16,66.0,0.375,,0.5138888888888888,0.163135593220339,,
TCOD F2B,60,16,67.0,0.5625,,0.4583333333333333,0.16979166666666667,,
TCOD F2B,61,16,69.0,0.4375,,0.4583333333333333,0.17418032786885246,,
TCOD F2B,62,16,70.0,0.5625,,0.4444444444444444,0.18044354838709678,,
TCOD F2B,63,16,72.0,0.5625,,0.4791666666666667,0.1865079365079365,,
TCOD F2B,64,16,73.0,0.1875,,0.5,0.1865234375,,
TCOD F2B,65,16,75.0,0.4375,,0.4930555555555556,0.19038461538461537,,
TCOD F2B,66,16,76.0,0.5625,,0.4791666666666667,0.19602272727272727,,
TCOD F2B,67,16,78.0,0.625,,0.4861111111111111,0.20242537313432835,,
TCOD F2B,68,16,79.0,0.5625,,0.4652777777777778,0.20772058823529413,,
TCOD F2B,69,16,81.0,0.5,,0.4930555555555556,0.21195652173913043,,
TCOD F2B,70,16,82.0,0.3125,,0.5208333333333334,0.21339285714285713,,
TCOD F2B,71,16,84.0,0.625,,0.4861111111111111,0.21919014084507044,,
TCOD F2B,72,16,85.0,0.375,,0.4652777777777778,0.22135416666666666,,
TCOD F2B,73,16,87.0,0.4375,,0.4652777777777778,0.2243150684931507,,
TCOD F2B,74,16,88.0,0.6875,,0.4861111111111111,0.23057432432432431,,
TCOD F2B,75,16,90.0,0.25,,0.5208333333333334,0.23083333333333333,,
TCOD F2B,76,16,91.0,0.4375,,0.5069444444444444,0.23355263157894737,,
